name,country,iata,icao,timezone_pytz,state
Valdosta Regional Airport,United States,VLD,KVLD,America/New_York,Georgia
Yakima Air Terminal McAllister Field,United States,YKM,KYKM,America/Los_Angeles,Washington
Aniak Airport,United States,ANI,PANI,America/Anchorage,Alaska
Wrangell Airport,United States,WRG,PAWG,America/Anchorage,Alaska
Tri Cities Airport,United States,PSC,KPSC,America/Los_Angeles,Washington
Worcester Regional Airport,United States,ORH,KORH,America/New_York,Massachusetts
Provincetown Municipal Airport,United States,PVC,KPVC,America/New_York,Massachusetts
Concord-Padgett Regional Airport,United States,USA,KJQF,America/New_York,North Carolina
Friedman Memorial Airport,United States,SUN,KSUN,America/Denver,Idaho
Phoenix-Mesa-Gateway Airport,United States,AZA,KIWA,America/Phoenix,Arizona
St Mary's Airport,United States,KSM,PASM,America/Anchorage,Alaska
Hagerstown Regional Richard A Henson Field,United States,HGR,KHGR,America/New_York,Pennsylvania
Delta County Airport,United States,ESC,KESC,America/New_York,Michigan
Williamson County Regional Airport,United States,MWA,KMWA,America/Chicago,Illinois
Ford Airport,United States,IMT,KIMT,America/Chicago,Michigan
North Las Vegas Airport,United States,VGT,KVGT,America/Los_Angeles,Nevada
Montrose Regional Airport,United States,MTJ,KMTJ,America/Denver,Colorado
Pangborn Memorial Airport,United States,EAT,KEAT,America/Los_Angeles,Washington
Brainerd Lakes Regional Airport,United States,BRD,KBRD,America/Chicago,Minnesota
Pitt Greenville Airport,United States,PGV,KPGV,America/New_York,North Carolina
Northeast Florida Regional Airport,United States,UST,KSGJ,America/New_York,Florida
Charles M. Schulz Sonoma County Airport,United States,STS,KSTS,America/Los_Angeles,California
Aspen-Pitkin Co/Sardy Field,United States,ASE,KASE,America/Denver,Colorado
Gunnison Crested Butte Regional Airport,United States,GUC,KGUC,America/Denver,Colorado
Charlotte County Airport,United States,PGD,KPGD,America/New_York,Florida
Dickinson Theodore Roosevelt Regional Airport,United States,DIK,KDIK,America/Denver,North Dakota
Sidney - Richland Regional Airport,United States,SDY,KSDY,America/Denver,Montana
Mammoth Yosemite Airport,United States,MMH,KMMH,America/Los_Angeles,California
Friday Harbor Airport,United States,FRD,KFHR,America/Los_Angeles,Washington
Unalakleet Airport,United States,UNK,PAUN,America/Anchorage,Alaska
Provo Municipal Airport,United States,PVU,KPVU,America/Denver,Utah
Northwest Florida Beaches International Airport,United States,ECP,KECP,America/Chicago,Florida
Republic Airport,United States,FRG,KFRG,America/New_York,New York
Lake Hood Airport,United States,,PALH,America/Anchorage,Alaska
Westerly State Airport,United States,WST,KWST,America/New_York,Rhode Island
Block Island State Airport,United States,BID,KBID,America/New_York,Rhode Island
Hilton Head Airport,United States,HHH,KHXD,America/New_York,South Carolina
Ogden Hinckley Airport,United States,OGD,KOGD,America/Denver,Utah
